WELLNAME,= 33846-CBL (1),,,,,,
STDEP  =,17,,,,,,
ENDEP  =,10431.5,,,,,,
LEVEL  =,0.5,,,,,,
CURNAMES,"AMP3FT, AMPAVG,","AMPMAX,","AMPMIN, CCL, GR,",LTEN,,,
,,,,,,,
DEPTH,AMP3FT,AMPAVG,AMPMAX,AMPMIN,CCL,GR,LTEN
2540.5,0    60.1897,97.5455,103.6339,92.0557,0,106.3106,645.7079
2541,0    60.0263,98.3201,103.3746,94.0204,0,108.7625,646.4993
2541.5,0    59.6409,97.8922,102.6793,93.4079,0,111.0679,620.3835
2542,0    59.2165,96.466,102.2708,92.267,0,113.8542,640.1682
2542.5,0    59.4069,95.5216,101.4188,91.1878,0,112.4338,636.2112
2543,0    59.4700,94.9368,100.1224,90.3288,0,107.5984,635.4199
2543.5,0    58.7615,94.0087,99.1937,88.2387,0,108.1753,655.2045
2544,0    57.8808,93.4092,98.3182,86.8231,0,108.8361,650.4562
2544.5,0    57.5543,92.9779,97.3019,88.1749,0,108.4794,625.9232
2545,0    56.1691,90.2092,94.6559,85.7282,0,114.44,644.1251
2545.5,0    55.7785,87.9818,95.5361,77.6426,0,120.9351,634.6285
2546,0    57.8939,88.9176,100.5864,63.8198,0,112.4877,629.0888
2546.5,0    43.7369,67.2093,75.0836,54.1232,0,104.4053,648.082
2547,0    35.6219,55.8319,61.4972,50.2998,0,108.2304,650.4562
2547.5,0    34.2710,55.344,60.8744,50.1653,0,108.1392,653.6217
2548,0    31.9663,52.8353,56.9184,49.9165,0,96.8893,640.9595
2548.5,0    33.1928,53.5499,57.1839,50.3332,0,90.6178,632.2543
2549,0    43.6238,69.7608,74.1007,65.8711,0,93.1804,633.8371
2549.5,0    53.2890,85.2096,90.44,80.195,0,103.528,653.6217
2550,0    57.9377,93.4769,99.3436,87.9403,0,117.473,659.1614
2550.5,0    58.0781,94.6903,100.529,89.2718,0,119.1419,652.0389
2551,0    57.5901,94.5194,99.9632,89.3364,0,106.3404,644.9165
2551.5,0    57.6459,93.1299,98.9813,88.3638,0,91.3494,636.2112
2552,0    57.9249,91.6648,97.2036,86.5395,0,87.6854,647.2906
2552.5,0    57.6224,90.304,96.2757,85.3175,0,92.7355,652.0389
2553,0    55.8224,88.5788,95.3027,82.2436,0,94.6224,656.7872
2553.5,0    54.4607,87.7293,93.2446,81.874,0,94.2121,643.3337
2554,0    54.3440,87.1793,92.2992,82.3138,0,91.9,640.9595
2554.5,0    53.5115,87.1058,92.8565,80.3369,0,87.7816,650.4562
2555,0    52.9434,86.7985,93.6412,79.765,0,97.6209,644.1251
2555.5,0    53.6269,85.3193,93.4133,78.8224,0,110.0872,650.4562
2556,0    53.0979,83.824,90.8988,76.9523,0,108.7878,658.37
2556.5,0    51.7031,83.1945,88.9304,77.4377,0,109.7223,637.0026
2557,0    50.7304,83.4771,88.2546,78.7851,0,112.5306,637.794
2557.5,0    49.6401,84.0212,88.387,79.8139,0,110.6043,643.3337
2558,0    51.1859,85.0436,90.1137,80.5984,0,106.9261,631.463
2558.5,0    52.1358,84.9626,90.2962,79.4339,0,104.3655,649.6648
2559,0    50.5008,83.8833,91.2042,76.1329,0,98.2023,655.9958
2559.5,0    49.7481,83.9159,92.3898,73.9655,0,85.8471,631.463
2560,0    51.9760,85.0205,92.5469,76.2894,0,84.7695,649.6648
2560.5,0    52.4084,85.4697,91.3045,78.606,0,105.5536,648.082
2561,0    49.8504,85.0007,90.8163,79.5808,0,137.1026,633.8371
2561.5,0    51.0341,85.2047,90.4572,80.5921,0,149.612,655.9958
2562,0    53.0740,86.3333,92.1031,81.1596,0,140.5501,651.2476
2562.5,0    53.2927,86.8689,91.575,81.8951,0,129.034,629.0888
2563,0    54.5953,87.4249,90.4378,83.4925,0,128.6093,644.1251
2563.5,0    56.8164,87.5957,92.8309,83.5659,0,120.5851,631.463
2564,0    55.6827,87.3608,93.4493,83.0966,0,104.3415,629.8802
2564.5,0    54.2575,88.2857,93.6136,83.0405,0,107.5609,641.7509
2565,0    54.5155,89.5654,95.6837,83.7601,0,105.0995,650.4562
2565.5,0    55.2565,90.6516,95.2111,85.0769,0,80.7251,634.6285
2566,0    56.4095,91.4954,95.7329,86.9632,0,67.1988,649.6648
2566.5,0    55.6540,91.6304,97.9995,86.3394,0,72.179,626.7146
2567,0    56.1297,91.5564,99.9826,85.5184,0,87.1894,633.8371
2567.5,0    57.0031,92.1129,99.4194,85.4809,0,97.9581,648.082
2568,0    57.1439,93.2275,100.2111,87.3454,0,97.3354,648.082
2568.5,0    57.0308,93.342,100.3826,88.0697,0,87.6477,635.4199
2569,0    57.4148,93.4008,100.563,87.2638,0,79.9117,656.7872
2569.5,0    58.1242,94.1824,100.9902,87.8011,0,86.8804,659.1614
2570,0    58.2664,94.4318,101.3487,88.8991,0,96.6315,659.1614
2570.5,0    57.9845,94.0529,102.017,88.4578,0,93.6331,659.1614
2571,0    58.3013,94.25,102.2257,88.7791,0,88.0829,651.2476
2571.5,0    58.4599,94.5381,101.6412,89.7932,0,88.8481,642.5423
2572,0    58.9160,94.0701,100.6521,89.2381,0,96.2236,646.4993
2572.5,0    58.9059,94.2299,101.0486,90.4193,0,110.1074,630.6716
2573,0    58.0046,93.542,99.5505,88.7865,0,112.1768,643.3337
2573.5,0    57.5208,92.1305,97.4147,88.0954,0,105.008,656.7872
2574,0    56.4661,91.1031,96.6539,87.2719,0,103.7082,655.2045
2574.5,0    55.9314,90.7203,97.011,86.6482,0,101.1677,632.2543
2575,0    55.0046,90.2864,95.954,85.1999,0,105.4331,644.9165
2575.5,0    55.6650,89.6985,94.5176,85.5785,0,107.4709,637.0026
2576,0    57.3222,89.8714,95.6694,84.264,0,100.0891,640.9595
2576.5,0    56.8593,90.0601,95.8448,85.0582,0,95.77,660.7442
2577,0    54.9473,88.9741,93.9462,85.0002,0,94.5915,653.6217
2577.5,0    55.3738,87.719,93.8987,84.0823,0,94.1475,636.2112
2578,0    55.0201,86.9266,93.056,81.5827,0,105.7677,637.794
2578.5,0    54.7002,86.8509,91.6059,81.6356,0,122.5377,633.8371
2579,0    55.6319,87.1383,93.2387,83.0657,0,127.9442,652.0389
2579.5,0    53.7263,88.4367,98.3528,82.1754,0,118.8211,657.5786
2580,0    52.8915,87.5915,95.0152,81.0166,0,113.3124,659.1614
2580.5,0    53.1615,86.3793,93.7843,79.4856,0,113.5241,636.2112
2581,0    53.7838,86.4259,92.4828,80.8664,0,118.1095,652.0389
2581.5,0    54.5772,87.1795,93.4419,83.0487,0,125.6983,637.794
2582,0    54.3771,87.6544,94.7418,83.8139,0,122.8298,643.3337
2582.5,0    53.7046,87.1023,93.1217,82.3915,0,117.8798,653.6217
2583,0    54.3370,86.4554,91.3584,81.3518,0,114.0522,663.1183
2583.5,0    54.8436,87.6715,92.5908,82.0182,0,102.383,642.5423
2584,0    54.9827,88.8508,94.773,82.6784,0,90.0809,650.4562
2584.5,0    55.5008,88.9993,94.7206,83.2276,0,84.6565,644.1251
2585,0    55.1197,90.0055,95.901,85.3461,0,89.58,663.1183
2585.5,0    55.6178,90.3433,96.2713,85.2735,0,110.6869,668.658
2586,0    55.8398,89.5696,95.0302,83.7687,0,127.7341,663.1183
2586.5,0    56.4492,90.012,94.4889,83.9835,0,125.688,633.8371
2587,0    56.9198,91.2,94.3207,87.8692,0,118.3506,663.1183
2587.5,0    57.1223,90.668,92.6591,88.5573,0,118.5687,639.3768
2588,0    56.6261,90.6273,92.6895,88.3821,0,114.7352,644.9165
2588.5,0    55.5272,89.5858,93.0492,87.4836,0,109.1495,659.1614
2589,0    55.0050,88.5532,91.9167,85.3519,0,108.1423,655.2045
2589.5,0    53.7018,86.4784,89.3469,82.6558,0,103.3387,633.8371
2590,0    48.3975,78.8617,83.2489,73.871,0,107.4313,658.37
2590.5,0    42.7213,69.6836,76.6417,62.549,0,112.7975,637.0026
2591,0    35.2903,56.6434,62.9014,51.0507,0,105.7713,653.6217
2591.5,0    32.8756,52.0796,58.1851,47.1104,0,102.006,655.9958
2592,0    31.9742,52.3059,57.812,46.7297,2,110.5219,647.2906
2592.5,0    31.3521,51.0436,55.69,46.4289,0,119.8813,637.0026
2593,0    39.7213,62.6144,66.8386,57.7481,0,110.7193,656.7872
2593.5,0    49.1416,78.1769,85.2014,72.5041,0,92.5826,637.794
2594,0    55.3161,88.8633,95.8161,83.4493,0,89.5094,640.1682
2594.5,0    56.3181,93.7349,99.483,85.1816,0,98.2305,655.9958
2595,0    56.6058,94.5986,100.7681,85.5667,0,107.2942,647.2906
2595.5,0    58.1125,94.2469,99.9586,87.8,0,113.8265,644.9165
2596,0    58.6969,93.4564,99.3666,87.5999,0,118.3142,652.0389
2596.5,0    58.8796,93.5134,100.2087,88.2506,0,124.418,637.0026
2597,0    58.9225,94.1305,102.5561,88.2731,0,133.0175,647.2906
2597.5,0    58.9929,94.2068,102.687,87.2508,0,134.5051,658.37
2598,0    59.3294,94.7572,102.7005,86.9187,0,131.3853,666.2839
2598.5,0    59.1646,94.735,102.5534,87.6276,0,119.4725,648.082
2599,0    59.6138,95.3526,102.332,89.1666,0,102.0863,654.4131
2599.5,0    59.7102,96.4214,103.572,89.4429,0,93.5543,633.0457
2600,0    59.6179,96.7959,104.0991,89.6637,0,92.933,648.8734
2600.5,0    59.3412,96.7947,103.8714,90.6584,0,91.4525,661.5356
2601,0    60.0747,97.1555,104.4426,91.5511,0,98.0246,667.0753
2601.5,0    60.6700,96.7355,103.562,91.0045,0,110.5595,637.0026
2602,0    59.6492,96.374,103.0981,91.7552,0,113.8512,648.082
2602.5,0    58.7832,95.9232,101.8574,91.2738,0,106.2699,640.9595
2603,0    58.5301,95.3392,102.02,90.0397,0,105.1943,659.9528
2603.5,0    57.5699,96.0138,102.6345,90.223,0,113.5906,667.0753
2604,0    57.3198,96.2262,102.8454,91.0163,0,116.5283,666.2839
2604.5,0    57.1737,94.6452,101.9946,90.423,0,107.1267,639.3768
2605,0    56.0613,93.5646,101.4385,87.9117,0,92.122,644.1251
2605.5,0    56.5998,93.2414,99.9171,87.9189,0,87.6133,645.7079
2606,0    57.2369,93.4458,99.0929,87.7707,0,90.8789,670.2408
2606.5,0    57.1842,93.3546,98.645,87.6954,0,102.0898,659.9528
2607,0    56.4436,91.8975,97.1577,86.2613,0,116.2825,657.5786
2607.5,0    55.4019,89.6102,94.6204,86.004,0,118.4298,634.6285
2608,0    55.3187,88.9271,94.5284,85.3949,0,115.8425,655.2045
2608.5,0    54.7269,88.091,94.2221,82.9174,0,119.4266,648.8734
2609,0    53.8855,86.4719,92.8352,81.3414,0,119.6085,667.0753
2609.5,0    52.0695,85.275,92.2397,80.4236,0,111.6286,671.0322
2610,0    50.3239,84.5831,91.8637,79.5428,0,99.3978,658.37
2610.5,0    50.4608,84.2503,90.1997,78.5359,0,88.851,640.1682
2611,0    49.6055,83.5014,90.9572,76.6637,0,88.4934,658.37
2611.5,0    47.6423,81.9219,90.7494,74.8355,0,100.5708,641.7509
2612,0    49.2253,81.7024,88.534,75.4453,0,110.6903,668.658
2612.5,0    49.9462,81.2997,87.9741,75.8801,0,112.7905,642.5423
2613,0    50.3230,81.2755,88.7233,76.2787,0,112.2367,637.0026
2613.5,0    50.4636,81.1668,88.7946,75.9095,0,112.0377,640.1682
2614,0    50.3899,81.4897,88.3035,75.62,0,121.1491,667.0753
2614.5,0    50.3601,81.0574,87.5798,74.5633,0,134.3673,647.2906
2615,0    49.4292,78.9762,83.1952,72.5665,0,146.4795,667.8666
2615.5,0    48.4450,77.4588,81.9184,71.0788,0,146.3879,659.9528
2616,0    47.5330,76.3657,81.4688,70.4952,0,115.9712,648.8734
2616.5,0    47.5791,75.5699,81.2123,70.0589,0,82.5437,651.2476
2617,0    48.1023,76.1736,82.361,69.7908,0,79.1531,655.9958
2617.5,0    47.2607,75.8771,82.2111,69.8052,0,90.5844,644.9165
2618,0    46.9564,74.7556,80.1789,66.8306,0,86.6348,653.6217
2618.5,0    47.4254,75.2488,80.0687,69.1143,0,74.2244,661.5356
2619,0    47.3079,76.1427,80.4059,71.1233,0,75.5588,648.082
2619.5,0    47.5377,77.1972,81.5069,72.4294,0,86.5942,641.7509
2620,0    48.0020,77.4224,81.8167,72.4669,0,101.4476,655.9958
2620.5,0    47.8317,76.5834,79.6794,72.1099,0,106.6853,648.082
2621,0    46.9466,76.407,80.5879,71.3835,0,92.4689,655.9958
2621.5,0    46.1719,76.2864,83.7456,69.0755,0,82.3232,659.1614
2622,0    46.5517,76.1851,83.6084,69.6752,0,85.7533,635.4199
2622.5,0    47.1133,76.223,81.6993,70.3185,0,88.3699,648.8734
2623,0    46.7834,75.8827,80.8803,70.0751,0,89.7904,650.4562
2623.5,0    46.5600,76.0846,81.3543,70.9109,0,94.9023,649.6648
2624,0    46.7318,76.4115,81.387,71.7376,0,98.6981,653.6217
2624.5,0    47.4802,76.7483,82.054,71.8468,0,98.4913,667.0753
2625,0    47.2894,76.499,81.8824,71.4336,0,92.4415,649.6648
2625.5,0    47.5904,77.7933,83.5482,72.8174,0,86.3513,655.2045
2626,0    48.5839,79.0522,84.6678,73.2245,0,95.2828,660.7442
2626.5,0    49.3571,79.1096,85.0609,73.2821,0,109.2807,637.0026
2627,0    49.3003,79.432,84.1976,74.766,0,106.4758,646.4993
2627.5,0    49.6088,79.6599,84.7848,75.0602,0,100.9856,662.327
2628,0    49.4391,81.1179,87.0611,76.3034,0,103.8026,671.0322
2628.5,0    48.4503,83.1332,89.3795,77.2438,0,118.8194,659.9528
2629,0    50.2888,84.1582,90.0539,76.9433,0,127.5793,650.4562
2629.5,0    54.2473,85.0437,91.4273,78.0141,0,108.4983,642.5423
2630,0    54.9097,86.2296,90.6468,81.139,0,87.4221,653.6217
2630.5,0    54.1500,88.0157,91.9744,83.9488,0,81.0813,667.0753
2631,0    54.3977,88.0424,94.7717,82.7071,0,83.1884,671.8235
2631.5,0    54.2765,86.9493,93.3881,81.4258,0,90.3226,664.7011
2632,0    54.1622,87.0282,93.3545,81.3589,0,94.2841,649.6648
2632.5,0    54.3236,86.9518,94.2727,80.4211,0,96.1805,649.6648
2633,0    51.4364,82.1533,88.5353,76.2531,0,97.6929,668.658
2633.5,0    42.9179,68.6463,72.2276,64.3307,0,100.2201,667.0753
2634,0    33.7556,53.3027,55.3242,50.5486,0,99.9093,672.6149
2634.5,0    30.4348,47.6679,49.1174,45.6014,0,89.6208,645.7079
2635,0    32.0168,50.8783,52.3483,48.6387,0,84.6497,644.9165
2635.5,0    32.1421,50.8369,52.9662,48.4541,0,99.0239,655.2045
2636,0    32.0432,50.8594,53.4839,47.8462,0,123.2487,675.7805
2636.5,0    35.0988,56.9196,60.5465,53.8852,0,132.1424,678.946
2637,0    42.6040,69.5084,74.4899,63.998,0,124.399,673.4063
2637.5,0    50.8248,83.1635,87.9627,78.5116,0,100.5675,650.4562
2638,0    51.3430,84.9504,88.5709,81.7568,0,85.4006,642.5423
2638.5,0    49.9882,82.636,85.14,79.2369,0,94.1292,655.2045
2639,0    50.5409,81.3827,85.2179,78.0884,0,114.0586,675.7805
2639.5,0    50.9219,81.9364,86.4734,79.0473,0,134.4437,673.4063
2640,0    50.5137,81.9222,86.0886,78.9798,0,140.2852,671.0322
2640.5,0    50.7161,81.809,85.2044,79.0585,0,118.2863,644.9165
2641,0    51.1410,82.552,86.9141,79.6056,0,93.9862,657.5786
2641.5,0    51.2401,83.1914,87.1279,77.7448,0,96.4297,668.658
2642,0    51.7830,83.5374,86.2813,78.3848,0,117.8645,679.7374
2642.5,0    51.9479,82.8479,86.3073,78.3478,0,126.1136,671.8235
2643,0    50.8567,81.9521,85.8608,76.9324,0,120.5516,665.4925
2643.5,0    49.6655,80.7991,84.5021,74.6546,0,122.7115,674.9891
2644,0    49.0878,80.5131,84.4836,74.9174,0,118.2056,659.1614
2644.5,0    48.3422,80.6175,83.9828,76.109,0,104.7285,651.2476
2645,0    48.5247,79.7484,83.5916,75.8699,0,104.0523,669.4494
2645.5,0    49.2665,79.4469,85.0683,75.2202,0,112.5218,661.5356
2646,0    49.4824,78.9317,84.2494,74.9204,0,110.914,674.1977
2646.5,0    49.5506,78.1688,82.6066,74.0872,0,105.3464,677.3633
2647,0    51.8928,78.1199,83.288,73.7238,0,104.4935,649.6648
2647.5,0    54.0903,78.1602,84.0154,72.9648,0,106.6537,651.2476
2648,0    50.5178,77.8133,84.4475,72.0088,0,99.4587,675.7805
2648.5,0    49.1021,78.0868,85.6757,72.4333,0,90.6586,668.658
2649,0    48.3271,78.0839,84.1888,72.761,0,87.6044,665.4925
2649.5,0    47.6696,78.1581,82.918,72.607,0,96.3623,671.0322
2650,0    48.3582,78.7683,83.8918,72.7739,0,117.7697,654.4131
2650.5,0    49.6002,79.0418,84.1406,72.6432,0,121.506,655.2045
2651,0    49.0310,78.5376,83.2796,72.9182,0,102.3602,671.0322
2651.5,0    49.6505,81.0035,85.1932,75.8888,0,92.9648,674.9891
2652,0    51.9356,84.6702,91.5888,78.9746,0,86.7349,669.4494
2652.5,0    51.9748,85.2216,92.3643,79.3172,0,80.368,658.37
2653,0    52.6523,85.4026,92.5269,79.3026,0,87.9157,645.7079
2653.5,0    53.3579,83.8888,91.381,77.7718,0,98.5879,648.082
2654,0    52.5685,81.8182,90.6176,75.1874,0,98.9311,659.9528
2654.5,0    51.8531,82.5203,91.3122,76.1365,0,91.6548,663.9097
2655,0    51.7664,83.0263,90.4122,77.8909,0,91.9299,643.3337
2655.5,0    51.1735,82.4529,88.7772,78.0971,0,103.5196,648.082
2656,0    50.7022,82.8002,89.1542,77.4822,0,119.6607,648.8734
2656.5,0    50.4428,83.2032,90.7845,77.2963,0,125.8541,650.4562
2657,0    50.5851,82.9439,92.2633,77.1604,0,117.6723,674.1977
2657.5,0    50.4970,82.0818,89.7385,77.0621,0,111.486,664.7011
2658,0    49.8255,82.7749,90.5711,77.06,0,116.4436,640.1682
2658.5,0    49.4454,83.9171,90.0565,77.8525,0,120.2563,663.9097
2659,0    50.1167,83.1746,89.9516,77.5861,0,114.6311,642.5423
2659.5,0    50.5599,82.7352,88.4846,78.1706,0,112.5894,655.2045
2660,0    50.8590,82.6156,87.4137,77.7576,0,113.5707,670.2408
2660.5,0    51.8184,81.6967,87.7051,76.7586,0,108.6372,671.0322
2661,0    51.3631,80.8259,87.8791,74.8737,0,113.905,640.1682
2661.5,0    50.3392,81.1033,89.1872,76.0958,0,127.7254,669.4494
2662,0    50.8779,81.6293,88.5883,77.0629,0,128.1694,652.0389
2662.5,0    50.9786,81.6537,87.9155,76.1734,0,123.3145,659.1614
2663,0    50.4163,81.5261,88.2456,76.3977,0,117.0688,672.6149
2663.5,0    50.0027,80.6426,87.3231,75.7472,0,100.8025,671.0322
2664,0    50.0297,80.1646,86.5334,74.7799,0,86.0819,647.2906
2664.5,0    50.3156,80.5401,85.7455,75.9864,0,74.7924,671.0322
2665,0    49.4689,80.7661,85.3195,77.017,0,73.759,656.7872
2665.5,0    49.2650,80.4854,86.2052,76.2148,0,93.9245,652.0389
2666,0    49.4576,80.1622,85.4949,75.7413,0,111.939,663.1183
2666.5,0    49.5034,80.3535,86.2343,76.0952,0,115.4996,660.7442
2667,0    49.1333,80.845,86.2008,76.3165,0,110.643,649.6648
2667.5,0    49.4960,81.2518,86.0177,75.6794,0,113.5814,663.1183
2668,0    49.2026,81.0122,86.719,75.7068,0,127.6929,652.8303
2668.5,0    49.5586,82.2027,89.3788,76.6397,0,122.7623,656.7872
2669,0    50.0579,83.9489,91.8521,77.0624,0,111.3691,666.2839
2669.5,0    51.7856,84.557,91.5373,78.9536,0,115.553,673.4063
2670,0    52.7789,84.8199,90.068,79.1279,0,115.6762,652.0389
2670.5,0    53.0642,85.6119,91.1401,80.5531,0,103.1967,673.4063
2671,0    53.8539,86.6037,92.1786,82.8541,0,94.8194,655.2045
2671.5,0    54.1897,86.8836,91.6061,83.3064,0,101.3893,657.5786
2672,0    53.9431,86.8218,91.8996,81.9937,0,114.0447,678.1547
2672.5,0    54.6060,87.2143,92.931,82.1198,0,115.7171,668.658
2673,0    55.2516,87.8354,93.5123,82.3474,0,109.5724,646.4993
2673.5,0    56.3982,88.7588,96.4145,81.7511,0,106.3825,669.4494
2674,0    55.8002,88.9757,96.5689,82.6994,0,106.0754,652.8303
2674.5,0    54.7175,88.4275,96.8396,81.8544,0,102.4422,657.5786
2675,0    54.1548,88.178,95.3483,82.765,0,100.3766,669.4494
2675.5,0    52.5074,86.1334,92.7616,79.9575,0,96.6479,671.0322
2676,0    49.1955,80.9697,86.3584,75.0871,0,90.0607,651.2476
2676.5,0    45.6834,75.2188,78.6873,69.4359,0,85.1105,667.0753
2677,0    43.3259,70.3013,74.569,65.3971,0,85.3102,655.9958
2677.5,0    32.3617,51.7211,55.6746,48.02,0,81.44,656.7872
2678,0    29.3034,46.9551,50.0672,43.1356,0,75.2399,674.1977
2678.5,0    28.8529,48.0534,51.5427,41.7711,0,85.6491,680.5288
2679,0    31.3922,53.2315,56.8908,47.3055,0,101.037,656.7872
2679.5,0    43.0601,71.7033,75.5996,67.4078,0,111.9982,678.946
2680,0    49.8107,80.2539,83.9569,76.4841,0,129.6405,649.6648
2680.5,0    49.9827,80.5975,85.8075,76.4481,0,146.8387,659.9528
2681,0    52.0314,84.9132,90.7298,80.1457,0,148.1657,678.1547
2681.5,0    51.8830,84.9487,90.5586,79.7684,0,137.8513,677.3633
2682,0    52.0917,84.3001,91.0192,78.9114,0,127.854,656.7872
2682.5,0    51.4071,83.6431,91.0891,77.4353,0,130.9609,675.7805
2683,0    50.9562,83.978,91.0847,77.8896,0,133.9525,654.4131
2683.5,0    51.7505,83.7739,89.8218,76.9916,0,118.8484,656.7872
2684,0    52.3786,84.2946,91.3351,77.1571,0,93.4908,675.7805
2684.5,0    52.9778,84.8174,91.5197,78.0595,0,84.7986,677.3633
2685,0    52.8978,83.7926,90.8321,76.9626,0,96.7296,651.2476
2685.5,0    53.2654,83.9908,92.1434,77.704,0,98.6178,670.2408
2686,0    52.7667,84.1399,91.6678,77.5161,0,91.5497,644.9165
2686.5,0    51.9466,82.8762,90.2522,76.0227,0,86.6065,653.6217
2687,0    51.8512,81.3699,89.4943,74.1847,0,89.4976,682.903
2687.5,0    52.1004,82.1221,89.1159,75.8563,0,109.1864,670.2408
2688,0    51.3235,82.2186,88.9725,76.4222,0,124.2039,647.2906
2688.5,0    50.3621,81.0158,88.5267,74.577,0,121.2318,673.4063
2689,0    50.0226,80.4844,87.8235,73.1069,0,107.8712,652.0389
2689.5,0    50.5334,81.6877,89.4298,74.3009,0,99.417,663.9097
2690,0    53.1003,84.0831,91.9402,77.2642,0,101.7623,678.946
2690.5,0    54.3486,85.9345,92.1727,79.5496,0,103.6494,667.0753
2691,0    53.6822,86.0768,93.7296,80.188,0,101.8853,648.8734
2691.5,0    53.5768,86.4322,95.737,79.0714,0,101.9172,670.2408
2692,0    53.9157,88.0191,99.7503,77.9224,0,98.6409,659.9528
2692.5,0    54.2745,88.8403,100.6498,78.5357,0,91.119,667.0753
2693,0    54.3168,87.6493,98.6945,79.5699,0,91.1531,674.9891
2693.5,0    54.6364,86.9045,99.8692,78.5365,0,93.6098,670.2408
2694,0    54.1792,86.8576,98.2312,78.8847,0,92.3087,649.6648
2694.5,0    53.5582,86.7532,94.2705,80.37,0,83.4131,674.1977
2695,0    53.0790,86.1942,93.0592,79.704,0,76.8689,652.8303
2695.5,0    52.7346,85.2427,92.472,79.509,0,93.6319,660.7442
2696,0    52.9364,84.9816,92.5329,79.1342,0,115.5366,678.946
2696.5,0    52.8179,84.9084,93.0816,78.5674,0,129.154,670.2408
2697,0    52.0624,84.5301,92.6902,78.3741,0,131.9554,649.6648
2697.5,0    51.4886,83.8443,91.433,77.3262,0,107.9674,677.3633
2698,0    51.0804,82.8209,90.5915,75.9971,0,88.0703,682.903
2698.5,0    51.0768,82.1115,90.1689,76.5866,0,89.6697,698.7307
2699,0    50.7210,82.1638,90.9722,74.5772,0,91.0103,675.7805
2699.5,0    49.4600,81.3151,90.1427,73.443,0,97.9229,667.8666
2700,0    48.4234,78.9499,86.4547,70.9634,0,112.7496,653.6217
2700.5,0    47.6537,77.3827,84.0909,70.6905,0,118.4115,674.9891
2701,0    47.2116,77.0239,85.2999,71.6933,0,105.2852,656.7872
2701.5,0    46.7100,76.7305,86.7253,70.0261,0,92.8952,664.7011
2702,0    47.0105,76.5078,85.8578,68.6358,0,106.4412,671.8235
2702.5,0    47.3642,76.8513,84.8682,69.6114,0,123.5834,662.327
2703,0    48.0286,77.0258,83.7729,71.2175,0,109.8974,651.2476
2703.5,0    48.8652,76.465,82.3741,71.2138,0,103.4668,676.5719
2704,0    47.3954,75.353,81.6927,69.8927,0,119.3233,659.1614
2704.5,0    46.3541,74.5251,80.158,68.5883,0,125.3632,668.658
2705,0    46.6666,74.607,79.6236,68.8077,0,115.6947,684.4857
2705.5,0    46.7753,74.6684,79.6787,69.6882,0,105.5756,678.1547
2706,0    46.6502,74.1232,80.1851,68.9071,0,103.1794,667.8666
2706.5,0    46.2248,73.0969,79.3688,66.5333,0,106.7673,684.4857
2707,0    45.8987,73.3868,80.6022,65.0494,0,101.1373,663.9097
2707.5,0    46.7103,73.6453,81.6455,63.7059,0,99.266,668.658
2708,0    46.7671,72.8752,79.4857,63.0772,0,112.7563,684.4857
2708.5,0    46.1898,72.311,78.4172,66.4498,0,112.1299,671.8235
2709,0    45.0362,71.6171,78.5907,66.5088,0,102.9333,656.7872
2709.5,0    44.8919,72.6497,79.7796,67.6187,0,103.2188,679.7374
2710,0    44.8267,73.8485,80.5159,68.8462,0,96.4551,656.7872
2710.5,0    44.5388,74.5773,81.0754,69.3271,0,89.4164,679.7374
2711,0    45.2259,74.346,80.7113,68.9783,0,97.974,690.0254
2711.5,0    46.6099,75.3027,81.9636,70.0378,0,104.2978,671.0322
2712,0    48.2834,76.1875,84.0033,71.4327,0,108.2656,656.7872
2712.5,0    48.7159,78.4669,87.0738,73.4865,0,118.2161,681.3202
2713,0    49.1891,81.0319,90.8635,75.1468,0,121.9142,655.2045
2713.5,0    51.0984,82.2723,91.041,75.7171,0,116.7029,682.1116
2714,0    52.0862,82.2847,92.5972,73.2351,0,113.7423,674.9891
2714.5,0    51.2072,81.9391,91.3069,73.9742,0,113.1956,676.5719
2715,0    51.1372,81.5211,90.3967,74.1959,0,112.5657,654.4131
2715.5,0    51.4249,80.6232,89.1088,71.4807,0,116.2363,673.4063
2716,0    49.0669,79.8978,87.6141,71.8847,0,129.6151,655.2045
2716.5,0    48.4517,79.4255,87.5527,72.7834,0,142.8524,682.1116
2717,0    49.1411,79.7107,88.5767,73.2401,0,138.5087,682.1116
2717.5,0    48.7219,79.6872,87.4155,74.5269,0,121.7117,671.0322
2718,0    48.4352,78.8503,84.7637,74.16,0,110.2352,663.9097
2718.5,0    44.7870,73.5447,79.3762,66.5751,0,103.6894,678.946
2719,0    40.7620,65.9042,72.444,59.1996,0,99.8669,659.9528
2719.5,0    34.3893,53.913,58.9902,48.1066,0,91.0729,682.903
2720,0    31.3295,49.3656,54.7794,43.3516,0,80.4831,682.903
2720.5,0    32.0938,49.0525,54.8032,44.1587,0,81.3288,676.5719
2721,0    35.3818,52.8444,57.2328,49.6365,0,96.977,664.7011
2721.5,0    44.5137,68.9859,73.0893,65.2314,0,111.5791,680.5288
2722,0    43.8143,70.349,74.3196,64.48,0,120.2924,669.4494
2722.5,0    45.2054,74.1473,78.2629,68.9594,0,122.7375,671.0322
2723,0    50.8884,81.2915,84.7637,76.4012,0,117.0682,675.7805
2723.5,0    51.6889,82.2288,87.0318,77.3002,0,120.1831,671.0322
2724,0    50.8424,82.7296,87.2731,78.4752,0,134.1817,655.9958
